id_int,x,y
1,-1.976704,43.317669
2,-2.318462,43.088273
3,-1.800192,43.339582
4,-1.976704,43.317669
5,-2.0789084,43.1354047
6,-1.800192,43.339582
7,-1.976704,43.317669
8,-2.0789084,43.1354047
9,-2.318462,43.088273
10,-1.976704,43.317669
11,-1.800192,43.339582
12,-1.976704,43.317669
13,-1.800192,43.339582
14,-1.976704,43.317669
15,-2.0789084,43.1354047
16,-2.318462,43.088273
17,-1.8998963854885,43.31899377265699
18,-1.9026697915164077,43.31495943401207
19,-1.912338860719475,43.317663075256846
20,-1.9175935931880457,43.31898254931637
21,-1.92178946813,43.32091310731408
22,-1.9315366416386084,43.321373766723305
23,-1.938961662042508,43.31992115123745
24,-1.943449235210556,43.3207190667137
25,-1.9500971760781969,43.321401593247074
26,-1.9621245612510176,43.32196159516142
27,-1.967355968600396,43.32328757569839
28,-1.9702787049624864,43.32549299300779
29,-1.976803993598501,43.32471415035419
30,-1.914798230525038,43.32360232520211
31,-1.9122859057172887,43.32270503231315
32,-1.8979018221360189,43.32154082056549
33,-1.9310207970405555,43.32125188909426
34,-1.921767195042352,43.32077783140341
35,-1.9188202412883215,43.319354328202046
36,-1.9154381885716123,43.31813372466696
37,-1.9112575141052248,43.317445684931535
38,-1.9025612567844887,43.31482332657109
39,-1.8999960022174611,43.31894070449119
40,-1.897434880990662,43.3214462759185
41,-1.914823684986728,43.3242508827349
42,-1.9816383445680348,43.32104748620295
43,-1.9736022860926992,43.32221825513564
44,-1.9664393885236355,43.32206370193461
45,-1.9592059308115368,43.32170996112625
46,-1.948200073349171,43.3212761088388
47,-1.9433295162440007,43.32051085946552
48,-1.9382335287732315,43.319950411172925
49,-1.979614277009036,43.32039913683784
50,-2.006343219664006,43.30502082378884
51,-2.008416452806431,43.30718187223431
52,-2.0069895569693665,43.31227500195036
53,-2.002637631401178,43.31447923399172
54,-1.9872511779633888,43.31576671673923
55,-2.1748784750922843,43.28666809315569
56,-2.169489067861358,43.28598076396782
57,-2.1615561333573337,43.285625738897664
58,-2.2244200385652038,43.309661012152745
59,-2.204276507509754,43.30268825664226
60,-2.257487357428084,43.29575244566374
61,-2.2554358988923067,43.29414531577033
62,-1.98797500299187,43.27734215990623
63,-2.006905986330402,43.27877772938445
64,-2.021443687526209,43.27601259427356
65,-2.018123615019112,43.27249040190003
66,-2.019789337739736,43.27005546859397
67,-2.021490277262544,43.26925962869177
68,-2.03257428323775,43.270425449695296
69,-2.054350465404668,43.264718619306834
70,-2.055891437766301,43.26626211439631
71,-2.052404457514234,43.26784508461368
72,-1.973635766214766,43.268191897885885
73,-1.977170682824141,43.27269879088977
74,-1.9772516994238745,43.31640708930665
75,-1.982999229636107,43.31931274112328
76,-2.002871896861321,43.31448127669487
77,-2.0092497316713365,43.31129511264319
78,-2.008606645438753,43.30685936153231
79,-2.006813584129013,43.30490785174174
