id,lon,lat,id
833966,-2.3502186,43.0881344,833966
834016,-2.3766516,43.094834,834016
834019,-2.3781171,43.0954756,834019
834020,-2.3787531,43.0954747,834020
834027,-2.3856436,43.1013381,834027
834029,-2.3865253,43.1016221,834029
834057,-2.4100526,43.1087654,834057
834059,-2.4140874,43.1088794,834059
834066,-2.4217442,43.1029422,834066
834081,-2.4334875,43.091145,834081
834666,-2.4025427,43.231392,834666
834673,-2.4021002,43.2305253,834673
834676,-2.401678,43.2291819,834676
834677,-2.401367,43.2289549,834677
836264,-2.3937246,43.3119001,836264
836298,-2.3916797,43.3072953,836298
836310,-2.388174,43.3047587,836310
836564,-2.3885832,43.30288,836564
837105,-2.3322595,43.2783887,837105
902743,-2.3642033,43.2039787,902743
902744,-2.3592975,43.2026483,902744
902745,-2.3580683,43.2025259,902745
902750,-2.3506568,43.2011009,902750
902766,-2.3248477,43.1850812,902766
902802,-2.3034371,43.1730332,902802
902811,-2.2904925,43.1743061,902811
902818,-2.2785975,43.1765127,902818
902820,-2.2766142,43.1776587,902820
902821,-2.2734097,43.1792946,902821
902824,-2.2709651,43.1806555,902824
902825,-2.2713836,43.1806844,902825
916341,-2.4899989,43.1795128,916341
916343,-2.490249,43.1792275,916343
916344,-2.4906186,43.1787448,916344
916353,-2.4968833,43.1790775,916353
916355,-2.4976703,43.1794113,916355
916360,-2.4994498,43.1842244,916360
916393,-2.5286219,43.1832273,916393
916449,-2.5535483,43.1669222,916449
916462,-2.5726359,43.168349,916462
916475,-2.5807688,43.1652236,916475
916481,-2.593388,43.1672378,916481
916489,-2.6049866,43.1642044,916489
916490,-2.6050622,43.1649686,916490
916492,-2.6056396,43.166993,916492
916502,-2.6151846,43.1728588,916502
916509,-2.618645,43.1718906,916509
916510,-2.6176096,43.1725309,916510
916519,-2.619573,43.1681117,916519
939305,-2.0088176,43.2980007,939305
939306,-2.0076848,43.2986431,939306
939321,-2.0062038,43.3047904,939321
939344,-1.9869607,43.3156114,939344
967785,-2.2691119,43.1800987,967785
968033,-2.3050528,43.1746543,968033
968039,-2.3089959,43.1785692,968039
1411212,-1.9828834,43.3171316,1411212
1411547,-1.9806349,43.3230192,1411547
1411635,-1.9765661,43.3216095,1411635
1411637,-1.9753119,43.3218784,1411637
1411641,-1.9717078,43.322312,1411641
5462312,-2.4627929,43.0761575,5462312
5462457,-2.4729341,43.0921404,5462457
5462674,-2.4964829,43.089408,5462674
5462678,-2.4969265,43.0898064,5462678
5462720,-2.5041418,43.0949689,5462720
5462725,-2.5057445,43.0967181,5462725
5622936,-2.489261,43.1365662,5622936
6731482,-2.4748005,43.1818677,6731482
6731487,-2.4734309,43.1822885,6731487
6731489,-2.4754251,43.1824974,6731489
6731490,-2.4751776,43.1827517,6731490
6731497,-2.4780079,43.1835807,6731497
6731501,-2.478712,43.1829228,6731501
6731504,-2.4790236,43.182913,6731504
6731505,-2.4787887,43.1830717,6731505
6731506,-2.4784081,43.1835285,6731506
6928916,-2.4819793,43.1832012,6928916
6928923,-2.4873123,43.1802582,6928923
6928926,-2.4794058,43.1823476,6928926
6928927,-2.4790209,43.1823986,6928927
6928929,-2.475293,43.1810671,6928929
6929224,-2.4808336,43.184092,6929224
6929502,-2.4500757,43.1902541,6929502
6929503,-2.4494774,43.1905577,6929503
6929504,-2.4488917,43.1909669,6929504
6929509,-2.45199,43.1898847,6929509
6929511,-2.4535441,43.1897889,6929511
6929692,-2.4620215,43.1871571,6929692
6984940,-2.4658666,43.1867323,6984940
6984942,-2.4666174,43.1859766,6984942
6984951,-2.4756549,43.1842992,6984951
6984952,-2.4747539,43.1844224,6984952
6984953,-2.4731713,43.1848217,6984953
6986229,-2.4722144,43.1816969,6986229
6986233,-2.4719926,43.1819785,6986233
6986262,-2.4387581,43.2159732,6986262
6986270,-2.4493279,43.2220537,6986270
7108388,-2.494827,43.0568904,7108388
7108397,-2.4952651,43.059145,7108397
7108403,-2.4948357,43.0619672,7108403
7108406,-2.4954054,43.061735,7108406
